Date,Open,High,Low,Close,Volume
2018-01-02,100.19,100.96,99.23,100.0,614331
2018-01-03,100.65,100.99,100.59,100.92,1229809
2018-01-04,101.21,102.94,100.52,102.25,1914318
2018-01-05,101.91,103.52,101.7,103.3,992280
2018-01-08,103.12,103.13,101.53,101.54,1712343
2018-01-09,101.8,102.04,99.56,99.79,759835
2018-01-10,99.78,100.42,98.67,99.3,1465962
2018-01-11,99.66,100.72,99.15,100.2,1633532
2018-01-12,99.62,100.09,98.63,99.1,1174410
2018-01-15,99.73,100.34,99.43,100.04,1231913
2018-01-16,100.6,101.49,96.45,97.31,1234873
2018-01-17,96.88,98.45,96.27,97.83,993365
2018-01-18,97.74,98.45,97.43,98.14,1082366
2018-01-19,97.97,99.49,97.33,98.85,1092581
2018-01-22,98.74,99.94,98.68,99.88,1347827
2018-01-23,100.17,101.35,95.45,96.59,1127994
2018-01-24,96.45,97.69,96.23,97.47,2195041
2018-01-25,97.21,100.19,96.73,99.7,1237199
2018-01-26,99.92,100.07,99.13,99.27,502606
2018-01-29,99.69,100.02,99.58,99.91,1261307
2018-01-30,99.79,100.14,98.84,99.19,1180229
2018-01-31,99.3,99.55,99.11,99.36,505920
2018-02-01,98.95,99.56,98.54,99.15,774316
2018-02-02,99.47,100.19,98.0,98.71,1133639
2018-02-05,99.42,99.54,98.07,98.19,1043201
2018-02-06,98.39,98.87,97.53,98.01,1148701
2018-02-07,98.01,98.94,97.86,98.8,1443501
2018-02-08,98.2,100.13,98.17,100.09,2363108
2018-02-09,100.02,100.08,98.96,99.02,1023510
2018-02-12,98.42,99.33,98.08,98.99,468127
2018-02-13,99.25,100.13,99.23,100.11,1207001
2018-02-14,100.68,101.45,99.55,100.31,1690951
2018-02-15,100.76,102.34,100.3,101.87,2304799
2018-02-16,101.95,102.3,101.24,101.59,950547
2018-02-19,101.77,104.79,100.83,103.84,1651555
2018-02-20,103.65,105.3,101.75,103.4,978536
2018-02-21,103.5,103.55,103.21,103.26,907624
2018-02-22,103.36,106.36,102.45,105.43,2041755
2018-02-23,105.45,107.07,105.06,106.67,1032038
2018-02-26,105.81,107.61,105.64,107.44,1367001
2018-02-27,107.54,108.46,107.35,108.27,852157
2018-02-28,108.44,108.99,107.87,108.41,1154234
2018-03-01,108.18,109.04,106.32,107.17,1255293
2018-03-02,107.32,107.61,107.22,107.51,863830
2018-03-05,107.79,107.9,107.05,107.16,1205932
2018-03-06,106.45,110.61,105.39,109.52,1573596
2018-03-07,109.84,111.2,109.79,111.15,1388813
2018-03-08,110.98,111.53,110.62,111.17,797891
2018-03-09,110.77,111.96,110.05,111.24,921666
2018-03-12,111.29,112.62,110.49,111.82,867312
2018-03-13,111.54,112.92,107.23,108.57,1306595
2018-03-14,108.4,110.82,107.45,109.86,803568
2018-03-15,109.5,110.81,109.03,110.34,1411431
2018-03-16,110.08,112.01,109.98,111.9,1089463
2018-03-19,111.46,112.16,110.02,110.71,1812316
2018-03-20,110.49,112.81,110.18,112.5,1739093
2018-03-21,112.1,112.39,111.89,112.18,1374050
2018-03-22,111.69,112.6,111.69,112.6,665879
2018-03-23,112.95,114.33,110.3,111.67,1077537
2018-03-26,111.66,113.76,111.23,113.32,864681
2018-03-27,113.45,114.18,113.27,114.0,939238
2018-03-28,114.59,115.3,113.16,113.86,2098267
2018-03-29,114.08,114.75,112.76,113.43,1008497
2018-03-30,113.42,114.53,112.96,114.07,1560063
2018-04-02,113.67,113.75,113.63,113.71,1715270
2018-04-03,113.98,114.55,113.9,114.47,1206157
2018-04-04,114.62,114.71,114.41,114.5,996567
2018-04-05,114.86,114.93,113.34,113.41,1054144
2018-04-06,113.36,113.76,112.76,113.16,1560607
2018-04-09,113.02,115.0,112.63,114.61,1591230
2018-04-10,113.86,116.32,113.18,115.63,1480299
2018-04-11,115.82,116.29,115.78,116.25,722904
2018-04-12,115.68,116.09,115.09,115.49,1046814
2018-04-13,115.3,116.76,114.59,116.04,879647
2018-04-16,116.21,116.37,115.25,115.41,900178
2018-04-17,115.42,115.43,113.53,113.54,985152
2018-04-18,113.49,113.69,112.94,113.13,1174453
2018-04-19,113.27,113.97,113.06,113.76,1558944
2018-04-20,113.11,115.09,112.8,114.78,1770601
2018-04-23,114.77,115.28,114.55,115.05,761929
2018-04-24,115.48,116.57,115.15,116.24,1268225
2018-04-25,116.63,116.94,116.25,116.55,918198
2018-04-26,115.99,117.45,115.91,117.36,971528
2018-04-27,117.68,117.87,117.37,117.55,977826
2018-04-30,117.69,117.72,116.32,116.35,1117634
2018-05-01,115.97,116.73,113.6,114.34,1696900
2018-05-02,113.84,115.06,113.12,114.34,989862
2018-05-03,114.26,114.96,113.61,114.3,819109
2018-05-04,114.77,114.86,114.12,114.2,1072542
2018-05-07,114.35,115.15,112.95,113.75,1523997
2018-05-08,113.39,114.59,112.69,113.89,490445
2018-05-09,113.91,113.93,113.76,113.79,510439
2018-05-10,114.13,115.35,113.4,114.61,627431
2018-05-11,114.55,115.91,113.05,114.4,897568
2018-05-14,114.22,114.62,114.16,114.56,863840
2018-05-15,114.7,115.14,113.94,114.38,1090894
2018-05-16,113.62,114.89,113.46,114.74,1284260
2018-05-17,114.87,115.47,113.79,114.39,1224580
2018-05-18,113.88,114.96,113.03,114.11,1441518
2018-05-21,114.05,114.77,113.95,114.67,1591502
2018-05-22,114.77,118.03,114.54,117.79,1310365
2018-05-23,117.71,118.53,117.2,118.02,1095998
2018-05-24,117.72,117.83,116.58,116.69,710301
2018-05-25,116.53,119.02,115.93,118.4,2744622
2018-05-28,118.68,119.33,118.38,119.03,713640
2018-05-29,118.51,118.6,118.46,118.55,1756019
2018-05-30,118.19,119.75,116.4,117.95,1226969
2018-05-31,118.04,118.51,117.13,117.59,809843
2018-06-01,117.86,119.53,117.13,118.79,1321640
2018-06-04,118.76,119.93,117.99,119.16,1368638
2018-06-05,118.94,119.18,118.7,118.95,800627
2018-06-06,119.18,120.4,117.19,118.4,1135031
2018-06-07,118.23,120.01,117.24,119.01,999131
2018-06-08,119.74,121.35,118.6,120.21,1238047
2018-06-11,120.68,121.77,118.72,119.8,881176
2018-06-12,120.48,120.67,118.87,119.06,903640
2018-06-13,118.68,121.94,117.79,121.04,1165464
2018-06-14,120.84,123.08,120.01,122.24,1238006
2018-06-15,122.11,123.33,121.64,122.85,1209233
2018-06-18,122.35,123.49,120.92,122.05,1107929
2018-06-19,121.83,123.61,120.69,122.46,1550434
2018-06-20,122.8,123.49,120.97,121.65,805776
2018-06-21,121.25,123.0,120.82,122.56,2363636
2018-06-22,122.43,123.49,121.74,122.8,500642
2018-06-25,123.35,124.25,122.07,122.96,1515581
2018-06-26,123.06,123.81,122.32,123.06,1522352
2018-06-27,123.24,123.63,123.16,123.56,1014709
2018-06-28,123.55,124.57,123.23,124.25,964114
2018-06-29,123.99,126.05,123.38,125.43,1223805
2018-07-02,125.27,125.92,124.95,125.61,392814
2018-07-03,125.69,126.72,124.74,125.77,963722
2018-07-04,125.52,127.2,123.91,125.59,820247
2018-07-05,125.59,125.61,124.54,124.56,1927315
2018-07-06,124.37,125.27,123.9,124.8,1176028
2018-07-09,124.74,125.39,123.4,124.04,742877
2018-07-10,124.62,124.91,122.87,123.15,1378296
2018-07-11,123.37,123.92,121.35,121.9,1238374
2018-07-12,121.39,124.36,120.63,123.59,1599620
2018-07-13,123.51,125.35,123.41,125.25,1231596
2018-07-16,125.95,126.58,125.8,126.44,1716596
2018-07-17,127.14,128.02,123.87,124.73,1636904
2018-07-18,124.27,125.76,124.08,125.57,1073216
2018-07-19,125.73,126.08,123.53,123.88,1251965
2018-07-20,123.87,124.48,121.22,121.82,1240278
2018-07-23,120.86,121.52,120.41,121.07,1027095
2018-07-24,121.16,122.36,120.76,121.96,1375907
2018-07-25,122.7,123.02,121.99,122.31,999396
2018-07-26,122.02,122.89,119.74,120.6,849889
2018-07-27,120.47,122.54,119.58,121.64,924513
2018-07-30,121.99,123.56,119.95,121.52,960972
2018-07-31,121.33,121.44,121.22,121.32,1310388
2018-08-01,121.14,121.86,120.25,120.97,1036554
